season,home_team,away_team,home_score,away_score,location
2024,Murray St.,Missouri St.,35,60,0
2024,Eastern Michigan,Miami OH,37,52,1
2024,Towson,North Texas,39,65,0
2024,DePaul,Seton Hall,39,72,1
2024,Virginia,Wisconsin,41,65,0
2024,Fresno St.,San Diego St.,41,73,1
2024,Houston,Iowa St.,41,69,0
2024,Georgia Southern,Florida Gulf Coast,42,53,0
2024,Navy,American,42,59,1
2024,Northern Iowa,Murray St.,43,71,1
2024,Pacific,Saint Mary's,43,84,1
2024,American,Loyola MD,43,44,1
2024,Air Force,UNLV,43,72,1
2024,Robert Morris,Oakland,43,63,1
2024,Rice,Temple,43,65,1
2024,Loyola MD,Lafayette,44,70,1
2024,Wagner,Merrimack,44,60,1
2024,Virginia,North Carolina,44,54,1
2024,Notre Dame,The Citadel,45,65,1
2024,North Dakota,St. Thomas,45,70,1
2024,Coastal Carolina,Appalachian St.,45,70,1
2024,Sacramento St.,Idaho,45,61,1
2024,DePaul,Northwestern,46,56,1
2024,Kansas St.,Nebraska,46,62,1
2024,Arizona St.,Northwestern,46,65,0
2024,Eastern Michigan,Akron,46,77,1
2024,Rutgers,Penn St.,46,61,1
2024,Cal Baptist,Utah Valley,46,69,1
2024,Rutgers,Maryland,46,63,1
2024,Loyola MD,Bucknell,46,68,1
2024,Eastern Illinois,Little Rock,47,71,1
2024,North Dakota,UMKC,47,65,1
2024,Nicholls St.,McNeese St.,47,74,1
2024,Wofford,UNC Greensboro,47,58,1
2024,Cal Baptist,Grand Canyon,47,68,1
2024,Fresno St.,Wyoming,47,86,1
2024,Merrimack,Wagner,47,54,0
2024,Dartmouth,UMass Lowell,48,81,1
2024,NJIT,Saint Peter's,48,75,1
2024,Eastern Illinois,Coppin St.,48,46,0
2024,Chaminade,UCLA,48,76,0
2024,Creighton,Colorado St.,48,69,0
2024,Lafayette,Drexel,48,69,1
2024,DePaul,Villanova,48,84,1
2024,Seattle,Cal Baptist,48,46,1
2024,Lafayette,Boston University,48,62,1
2024,Bradley,Illinois St.,48,45,1
2024,Air Force,Boise St.,48,79,1
2024,Idaho,Montana St.,48,62,1
2024,Rider,Saint Peter's,48,50,0
2024,Coppin St.,Towson,49,70,1
2024,Towson,Houston,49,65,0
2024,Arizona St.,BYU,49,77,0
2024,Sacred Heart,Boston University,49,70,1
2024,Stephen F. Austin,Louisiana Tech,49,56,1
2024,Jacksonville St.,Illinois Chicago,49,55,1
2024,Santa Clara,Saint Mary's,49,73,1
2024,Mercer,East Tennessee St.,49,54,1
2024,Tennessee St.,Morehead St.,49,68,1
2024,VCU,Dayton,49,47,1
2024,North Carolina A&T,Hofstra,49,81,1
2024,Virginia,Wake Forest,49,47,1
2024,Virginia Tech,Florida Atlantic,50,84,0
2024,Austin Peay,Morehead St.,50,61,1
2024,Detroit Mercy,Oakland,50,65,1
2024,Chicago St.,St. Thomas,50,66,1
2024,George Mason,VCU,50,54,1
2024,Hawaii,UC Irvine,50,60,1
2024,Illinois St.,Valparaiso,50,59,1
2024,Marist,Siena,50,48,1
2024,IUPUI,Youngstown St.,50,78,1
2024,Maine,Binghamton,50,51,1
2024,USC,UCLA,50,65,1
2024,Grambling St.,Alabama A&M,50,60,1
2024,Louisville,Notre Dame,50,72,1
2024,Manhattan,Marist,50,57,1
2024,Fordham,Rhode Island,50,58,1
2024,Nicholls St.,SIU Edwardsville,51,60,0
2024,Loyola MD,Sacred Heart,51,66,0
2024,Bellarmine,Morehead St.,51,64,1
2024,Stanford,Northern Iowa,51,73,0
2024,Siena,Albany,51,86,1
2024,Army,Central Connecticut,51,79,1
2024,Western Michigan,St. Thomas,51,66,1
2024,Siena,Bryant,51,67,1
2024,Lafayette,La Salle,51,67,1
2024,Northwestern St.,Rice,51,76,1
2024,Hawaii,TCU,51,65,1
2024,South Dakota,Nebraska Omaha,51,67,1
2024,Northern Illinois,Akron,51,73,1
2024,Detroit Mercy,Green Bay,51,69,1
2024,Monmouth,Towson,51,43,1
2024,Arkansas,Auburn,51,83,1
2024,Boston University,Lafayette,51,59,1
2024,Liberty,Jacksonville St.,51,61,1
2024,Middle Tennessee,Sam Houston St.,51,60,1
2024,Dartmouth,Yale,51,76,1
2024,Cal Poly,Cal St. Fullerton,51,54,1
2024,Stephen F. Austin,Grand Canyon,51,53,1
2024,Siena,Iona,51,70,1
2024,Georgia Tech,Wake Forest,51,80,1
2024,Siena,Marist,51,67,1
2024,Missouri,Mississippi St.,51,75,1
2024,Portland,Saint Mary's,51,76,1
2024,Cal Poly,Hawaii,51,80,1
2024,VMI,Western Carolina,51,84,1
2024,Army,American,51,73,1
2024,Stonehill,Sacred Heart,51,79,1
2024,George Mason,Duquesne,51,59,1
2024,Liberty,UTEP,51,67,1
2024,Rhode Island,George Mason,51,69,1
2024,Rutgers,Ohio St.,51,73,1
2024,VCU,Duquesne,51,57,0
2024,North Texas,St. John's,52,53,0
2024,Florida Atlantic,Bryant,52,61,1
2024,Hampton,San Jose St.,52,71,0
2024,Southern Indiana,Bowling Green,52,54,1
2024,Canisius,Saint Peter's,52,54,1
2024,Sacramento St.,UC San Diego,52,83,1
2024,Lafayette,Army,52,47,1
2024,Notre Dame,N.C. State,52,54,1
2024,Cal Poly,UC Santa Barbara,52,61,1
2024,Grambling St.,Texas Southern,52,54,1
2024,Eastern Illinois,Morehead St.,52,78,1
2024,Middle Tennessee,Louisiana Tech,52,60,1
2024,Mercer,Western Carolina,52,64,1
2024,Florida A&M,Grambling St.,52,65,1
2024,Loyola MD,American,52,66,1
2024,Wichita St.,East Carolina,52,54,1
2024,Louisville,Virginia,52,69,1
2024,Siena,Saint Peter's,52,63,1
2024,Buffalo,Kent St.,52,83,1
2024,Cal Poly,UC Davis,52,59,1
2024,William & Mary,Towson,52,61,1
2024,American,Boston University,52,67,1
2024,UCF,Iowa St.,52,60,1
2024,Kansas,Cincinnati,52,72,0
2024,Washington St.,Colorado,52,58,0
2024,Montana St.,Green Bay,53,54,0
2024,Austin Peay,Murray St.,53,49,1
2024,Dartmouth,Marist,53,63,1
2024,Nevada,Drake,53,72,0
2024,USC Upstate,Western Carolina,53,70,1
2024,Cal Poly,Eastern Washington,53,62,1
2024,UTSA,Army,53,63,1
2024,Maryland,Purdue,53,67,1
2024,UCLA,Stanford,53,59,1
2024,Northeastern,Stony Brook,53,62,1
2024,Texas A&M,LSU,53,68,1
2024,Pittsburgh,Duke,53,75,1
2024,Missouri St.,Murray St.,53,77,1
2024,UC Riverside,Long Beach St.,53,65,1
2024,Kansas St.,Oklahoma,53,73,1
2024,FIU,Louisiana Tech,53,93,1
2024,William & Mary,Delaware,53,81,1
2024,Dartmouth,Cornell,53,56,1
2024,Maryland,Rutgers,53,56,1
2024,Lindenwood,Tennessee Tech,53,62,0
2024,Holy Cross,Army,53,59,1
2024,Wagner,Sacred Heart,53,63,1
2024,Iona,Saint Peter's,53,59,1
2024,Harvard,Princeton,53,66,1
2024,Evansville,Southern Illinois,53,65,1
2024,Texas A&M Commerce,Lamar,53,70,1
2024,Michigan St.,Northwestern,53,49,1
2024,Illinois St.,Evansville,53,59,0
2024,St. Thomas,Idaho St.,54,53,1
2024,Saint Joseph's,Texas A&M Commerce,54,57,1
2024,Saint Mary's,San Diego St.,54,79,0
2024,Charlotte,George Mason,54,49,0
2024,DePaul,San Francisco,54,70,0
2024,Florida A&M,Oregon,54,67,1
2024,New Mexico St.,Southern Illinois,54,81,0
2024,Southern Miss,South Dakota St.,54,65,1
2024,West Virginia,Virginia,54,56,0
2024,Morgan St.,Longwood,54,88,1
2024,St. Bonaventure,Florida Atlantic,54,64,0
2024,UMass Lowell,Central Connecticut,54,57,1
2024,Utah St.,San Francisco,54,53,0
2024,Central Arkansas,Western Illinois,54,65,1
2024,Portland,Temple,54,55,0
2024,N.C. State,North Carolina,54,67,1
2024,Chattanooga,UNC Greensboro,54,70,1
2024,Louisiana Monroe,Texas St.,54,67,1
2024,UC Davis,UC Irvine,54,52,1
2024,Duquesne,St. Bonaventure,54,50,1
2024,La Salle,Dayton,54,66,1
2024,Northeastern,UNC Wilmington,54,77,1
2024,UT Rio Grande Valley,Cal Baptist,54,63,1
2024,American,Colgate,54,73,1
2024,Grambling St.,Mississippi Valley St.,54,46,1
2024,Texas A&M Commerce,Texas A&M Corpus Chris,54,69,1
2024,Houston Christian,McNeese St.            1,54,5,1
2024,Georgetown,Villanova,54,70,1
2024,North Carolina A&T,Delaware,54,62,1
