"team","seed","region","rating","R32","SS","EE","FF","CG","Champ"
"Connecticut",1,"EAST",23.6259823301722,96.6,75.8,49.1,30.7,18,10.1
"Stetson",16,"EAST",-0.159736087442525,3.4,0.3,0,0,0,0
"Florida.Atlantic",8,"EAST",13.3847299526875,54.1,14.2,5.9,2.1,0.7,0.2
"Northwestern",9,"EAST",12.380492302236,45.9,9.7,3.3,0.6,0.2,0
"San.Diego.St.",5,"EAST",11.9003332811648,75.6,20.5,5,1.3,0.2,0.1
"UAB",12,"EAST",3.59302631017872,24.4,3.3,0.5,0.1,0,0
"Auburn",4,"EAST",21.7169306794177,85.6,69.3,34.7,21.1,12,6.4
"Yale",13,"EAST",7.98756799749328,14.4,6.9,1.5,0.1,0,0
"BYU",6,"EAST",17.3446120119228,75.9,38.9,19.3,8,3.7,1.8
"Duquesne",11,"EAST",7.71679981817871,24.1,5.6,1,0,0,0
"Illinois",3,"EAST",19.2886987098856,89.2,53.1,27.5,12.9,6,2.7
"Morehead.St.",14,"EAST",3.39491614001778,10.8,2.4,0.3,0,0,0
"Washington.St.",7,"EAST",13.3458796946347,59.7,17.2,6,1.6,0.6,0.3
"Drake",10,"EAST",9.85296288980504,40.3,9.3,3.4,0.4,0.2,0
"Iowa.St.",2,"EAST",21.304620282624,95.6,72.4,42.3,21.1,11.6,6.4
"South.Dakota.St.",15,"EAST",0.333418202567593,4.4,1.1,0.2,0,0,0
"North.Carolina",1,"WEST",19.7363491435051,98.3,61.4,35.1,16.1,6.1,2.9
"Wagner",16,"WEST",-6.59428594155069,1.7,0,0,0,0,0
"Mississippi.St.",8,"WEST",14.2170830072499,39.6,12.3,4.7,1.4,0.5,0.1
"Michigan.St.",9,"WEST",16.9802541180784,60.4,26.3,10.1,4.2,1.8,0.8
"`Saint.Mary's`",5,"WEST",15.9692640140102,72.3,30.4,12.2,5.5,1,0.7
"Grand.Canyon",12,"WEST",8.57131363385726,27.7,5.7,0.8,0.1,0,0
"Alabama",4,"WEST",21.5186596158273,87.6,60.8,36.7,18.1,9.2,4.9
"Charleston",13,"WEST",5.76949524342675,12.4,3.1,0.4,0.1,0,0
"Clemson",6,"WEST",13.8860206230123,50.2,23.7,7.4,2.5,0.8,0.3
